,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
922,449455,556598.93,4333358.65,206.51,1,409916.846527,7.002000000000002,45,1,1,1015,0,0,1,0,0,0,,,556599.4758191468,4333358.656038875,0.05596455067613045,176.60274245791712,206.50033569335938
37316,5339154,556599.41,4333358.65,206.53,1,415939.486274,-9.0,81,1,1,2027,0,1,2,0,0,0,,,556599.4758778961,4333358.6507288655,0.06127488514620778,176.60176562540352,206.50033569335938
83567,11655525,556599.43,4333358.65,206.5,2,426733.71586,7.002000000000002,20,1,1,3080,0,1,3,0,0,0,,,556599.4758803439,4333358.650507615,0.061496149082675665,176.60172492404874,206.50033569335938
76798,10448220,556600.4,4333358.66,206.54,2,422097.443495,-10.998,23,1,1,3051,0,0,3,0,0,0,,,556599.4758884413,4333358.649775746,0.06222806220491324,176.60159028911397,206.50033569335938
68565,9388895,556598.72,4333358.64,206.46,2,415938.151684,-10.002,22,1,1,3025,0,0,3,0,0,0,,,556599.4759040693,4333358.648363227,0.06364066806192228,176.60133044120087,206.50033569335938
42445,5679906,556598.9,4333358.64,206.51,1,417839.171403,-7.997999999999998,99,1,1,2034,0,0,2,0,0,0,,,556599.4759261002,4333358.646371974,0.06563204348884524,176.60096412900813,206.50033569335938
30674,4545551,556599.6,4333358.64,206.53,2,409917.526862,7.997999999999998,97,1,1,2015,0,0,2,0,0,0,,,556599.4760117762,4333358.63862821,0.07337628125749336,176.5995395815925,206.50033569335938
12994,1529222,556600.1,4333358.64,206.53,1,417838.546109,-9.0,63,1,1,1032,0,1,1,0,0,0,,,556599.4760729733,4333358.63309695,0.07890787966403857,176.59852204772412,206.50033569335938
7245,1210853,556600.34,4333358.64,206.52,2,415938.792019,-9.0,70,1,1,1025,0,0,1,0,0,0,,,556599.4761023481,4333358.630441945,0.08156304689907724,176.59803363146733,206.50033569335938
83568,11655526,556599.72,4333358.63,206.5,2,426733.715868,7.002000000000002,18,1,1,3080,0,1,3,0,0,0,,,556599.4761370887,4333358.627301931,0.08470325266116373,176.59745599269425,206.50033569335938
76797,10448219,556600.1,4333358.63,206.52,2,422097.443487,-10.998,23,1,1,3051,0,0,3,0,0,0,,,556599.4761835986,4333358.623098174,0.0889072674501896,176.59668266695428,206.50033569335938
83569,11655527,556600.02,4333358.61,206.5,2,426733.715876,7.002000000000002,22,1,1,3080,0,1,3,0,0,0,,,556599.4763950574,4333358.603985623,0.10802098727790807,176.59316671083346,206.50033569335938
46367,6627328,556600.17,4333358.61,206.53,2,422098.737307,-10.998,68,1,1,2053,0,1,2,0,0,0,,,556599.4764134166,4333358.602326246,0.10968046680012922,176.5928614506729,206.50033569335938
66995,8985400,556599.33,4333358.6,206.54,1,415211.097556,7.997999999999998,26,1,1,3022,0,0,3,0,0,0,,,556599.4764212306,4333358.601619986,0.11038677019362257,176.5927315266308,206.50033569335938
62245,8729850,556599.69,4333358.59,206.54,1,409916.166224,7.002000000000002,24,1,1,3015,0,0,3,0,0,0,,,556599.4765759177,4333358.587638703,0.12436890883233159,176.59015952147575,206.50033569335938
46368,6627329,556599.88,4333358.59,206.52,2,422098.737315,-10.998,74,1,1,2053,0,1,2,0,0,0,,,556599.4765991726,4333358.585536824,0.1264709162274885,176.58977285860564,206.50033569335938
83570,11655528,556600.32,4333358.59,206.5,2,426733.715884,7.002000000000002,21,1,1,3080,0,1,3,0,0,0,,,556599.4766530262,4333358.5806693155,0.13133872282463008,176.5888774288016,206.50033569335938
5827,767243,556598.58,4333358.57,206.47,1,415211.697834,9.0,62,1,1,1022,0,0,1,0,0,0,,,556599.4766613104,4333358.579920548,0.13208753594225783,176.58873968512384,206.50033569335938
