,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
13772,1252875,556561.27,4333359.28,192.04,2,415939.312456,-10.002,85,1,1,1025,0,0,1,0,0,0,,,556561.3042487302,4333360.24778182,38.19354512979977,162.0058016548497,192.1094207763672
135367,10720374,556561.28,4333359.67,192.07,2,423531.346437,-10.998,16,1,1,3060,0,0,3,0,0,0,,,556561.300451816,4333360.247916188,38.19734442090295,162.0042841896095,192.1094207763672
73192,5637385,556561.33,4333361.11,195.7,1,417838.666638,-7.002000000000002,26,2,1,2034,0,1,2,0,0,0,3.8100000000000023,165.81390099418368,556561.2994930063,4333360.24795012,38.19830383066966,162.00390099418368,192.1094207763672
19064,1483781,556561.32,4333360.97,195.57,1,417837.970712,-7.997999999999998,20,1,1,1032,0,0,1,0,0,0,3.6200000000000045,165.62188702274534,556561.2944537628,4333360.248128452,38.203346228719475,162.00188702274534,192.1094207763672
61336,4834529,556561.31,4333360.76,195.39,1,415211.844387,10.002,3,3,1,2024,0,1,2,0,0,0,3.319999999999993,165.32086185361817,556561.2918886436,4333360.248219229,38.20591295370328,162.00086185361818,192.1094207763672
32797,2756309,556561.26,4333359.47,192.06,2,423532.026756,-10.998,71,1,1,1060,0,0,1,0,0,0,,,556561.2875457583,4333360.24837292,38.21025855757765,161.9991261869772,192.1094207763672
92513,7461107,556561.25,4333359.23,192.08,1,425158.127951,-21.0,61,1,1,2071,0,1,2,0,0,0,,,556561.2860409779,4333360.248426172,38.211764279999215,161.9985247901971,192.1094207763672
86945,6947094,556561.31,4333360.93,195.65,1,423532.706923,-10.002,8,3,1,2062,0,0,2,0,0,0,3.700000000000017,165.69846047666886,556561.2858800563,4333360.248431867,38.21192530234708,161.99846047666884,192.1094207763672
2904,487372,556561.24,4333359.13,192.06,2,409917.352484,6.0,68,1,1,1015,0,1,1,0,0,0,,,556561.279587949,4333360.248654538,38.2182213483201,161.99594578888755,192.1094207763672
105145,8105915,556561.31,4333361.15,191.89,2,426734.852238,4.998,14,3,3,2082,0,0,2,0,0,0,,,556561.2781042374,4333360.248707045,38.21970598885442,161.99535281237067,192.1094207763672
123759,9597662,556561.27,4333360.03,192.07,2,417837.344802,-7.997999999999998,15,1,1,3032,0,1,3,0,0,0,,,556561.2777402567,4333360.248719925,38.22007019735757,161.99520734477454,192.1094207763672
26717,2458179,556561.24,4333359.68,192.11,1,422098.123437,-7.997999999999998,83,1,1,1051,0,0,1,0,0,0,,,556561.2601484018,4333360.249342482,38.23767306452257,161.9881766281684,192.1094207763672
98658,7787704,556561.24,4333359.7,192.16,1,425472.660579,12.0,55,1,1,2073,0,1,2,0,0,0,,,556561.2594415093,4333360.249367498,38.238380399674575,161.98789411322622,192.1094207763672
81307,6630538,556561.28,4333360.96,194.5,1,422098.8047,-7.997999999999998,9,2,1,2053,0,0,2,0,0,0,2.6100000000000136,164.5960619762797,556561.2548572415,4333360.24952973,38.24296753710369,161.9860619762797,192.1094207763672
55796,4586747,556561.22,4333359.43,192.06,1,409918.047563,7.002000000000002,70,1,1,2015,0,0,2,0,0,0,,,556561.2490095758,4333360.249736672,38.24881886336667,161.98372491287182,191.93966674804688
81306,6630537,556561.28,4333361.14,191.99,1,422098.804692,-7.997999999999998,32,3,3,2053,0,0,2,0,0,0,,,556561.2484952079,4333360.249754875,38.24933355330702,161.98351934186587,191.93966674804688
105557,8106889,556561.22,4333359.56,192.05,1,426734.87603,4.998,63,1,1,2082,0,1,2,0,0,0,,,556561.2444147738,4333360.249899277,38.25341654173941,161.9818885657937,191.85415649414062
131169,10452380,556561.27,4333361.23,195.69,1,422097.522543,-7.997999999999998,9,1,1,3051,0,0,3,0,0,0,3.8000000000000114,165.77825644865166,556561.2353266991,4333360.250220894,38.262510305456644,161.97825644865165,191.85415649414062
87319,6947967,556561.22,4333359.92,193.43,1,423532.719331,-10.002,9,2,1,2062,0,1,2,0,0,0,1.4699999999999989,163.44680329695288,556561.2316907065,4333360.250349568,38.26614857417901,161.97680329695288,191.85415649414062
27228,2459566,556561.24,4333360.53,193.79,1,422098.138726,-7.997999999999998,10,2,1,1051,0,1,1,0,0,0,1.75,163.72616974340863,556561.2301054653,4333360.250405668,38.26773480777451,161.97616974340863,191.85415649414062
139259,11084755,556561.22,4333359.97,192.02,2,425156.759353,-22.002,19,1,1,3069,0,0,3,0,0,0,,,556561.229923475,4333360.250412108,38.26791691200961,161.97609700961715,191.85415649414062
13775,1252878,556561.22,4333360.01,193.32,1,415939.31248,-10.002,6,2,1,1025,0,0,1,0,0,0,1.299999999999983,163.27553197974595,556561.2285096897,4333360.250462141,38.26933158228068,161.97553197974597,191.85415649414062
